Year,White_Words,Black_Words
2014,bush,historically
2014,minimum,negro
2014,proposal,caucus
2014,carney,decriminalize
2014,strategy,prince
2014,spending,suspect
2014,collar,warn
2014,agenda,pastor
2014,valerie,jordan
2014,corporate,zimmerman
2014,cent,harlem
2014,peer,escape
2014,forward,hollywood
2014,jarrett,advancement
2014,warren,gifted
2014,shrink,slave
2014,advisers,violent
2014,priority,placement
2014,additional,spur
2014,pope,daniel
2014,dominate,preliminary
2014,deputy,compose
2014,communication,graduation
2014,reagan,geography
2014,hawaii,notion
2014,domestic,smartphone
2014,victory,phenomenon
2014,criticize,french
2014,francis,trap
2014,electorate,vestige
2023,supremacist,brown
2023,spokesman,lives
2023,supremacy,florida
2023,mccarthy,reality
2023,negotiate,policing
2023,kevin,jackson
2023,suburb,guarantee
2023,club,enrollment
2023,karine,maryland
2023,pierre,payment
2023,nationalist,conclude
2023,iowa,indigenous
2023,heterosexual,georgia
2023,announcement,wing
2023,outperform,failure
2023,outnumber,prior
2023,deficit,topic
2023,coordinator,foundation
2023,package,stem
2023,jimmy,pattern
2023,lunch,achievement
2023,nixon,legislative
2023,plains,hospital
2023,deadline,provider
2023,brainard,activism
2023,fountain,queer
2023,sociology,east
2023,resist,search
2023,fighting,frequently
2023,string,manhattan
